Timeframe,Description,File Format,URL
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-07-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-12-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-17-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-20.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-21.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-23.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-27.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-28.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-29.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-30.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-03-31.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-01.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-02.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-03-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-04.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-05.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-15-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-15-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-20.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-21.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2025-04-22.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-01-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-01-17.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-01-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-01-31.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-02-07.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-02-14.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-02-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-02-28.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-03-07.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-03-14.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-03-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-03-28.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-04-04.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-04-11.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-04-18.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-04-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-05-02.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-05-09.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-05-16.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-05-23.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-05-30.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-06-06.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-06-13.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-07-11.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-07-18.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-07-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-08-01.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-08-08.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-08-15.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-08-22.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-08-29.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-09-05.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-09-12.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-09-19.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-09-26.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-10-03.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-10-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-10-17.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-10-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-10-31.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-11-07.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-11-14.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-11-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-11-28.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-05.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-12.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-19.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-26.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-29-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-29-2.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-29-3.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2021-12-29.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-02.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-03.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-23.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-27.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-01-30.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-02-06.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-02-13.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-02-20.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-02-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-02-27.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-03-06.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-03-13.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-03-20.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-03-27.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-03.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-05-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-05-2.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-05.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-06.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-17.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-25-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-25-2.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-25-3.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-04-26.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-01.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-08.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-09.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-11.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-19.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-22.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-23.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-05-29.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-05.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-08.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-12.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-16.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-17-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-17.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-19.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-06-26.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-03.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-17.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-28.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-07-31.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-03-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-03.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-07.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-10-1.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-10.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-14.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-08-28.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-09-04.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-09-11.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-09-18.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-09-21.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-09-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-02.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-09.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-12.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-16.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-23.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-10-30.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-11-06.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-11-07.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-2022-11-09.csv
