name,type,dod_aggregate,agency_subelement,employment
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,ECONOMIC RESEARCH SERVICE,388
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,NATIONAL AGRICULTURAL STATISTICS SERVICE,1084
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,395
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,586
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,FOOD AND NUTRITION SERVICE,1346
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,RURAL BUSINESS,88
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,8635
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",806
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,FOOD SAFETY AND INSPECTION SERVICE,10009
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF THE CHIEF ECONOMIST,56
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF BUDGET AND PROGRAM ANALYSIS,51
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF THE CHIEF FINANCIAL OFFICER,1222
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,CIVIL RIGHTS,177
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,DEPARTMENTAL ADMINISTRATION,503
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF THE EXECUTIVE SECRETARIAT,21
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,FARM SERVICE AGENCY,5074
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,HOMELAND SECURITY STAFF,1
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,OFFICE OF THE CHIEF INFORMATION OFFICER,962
DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,NATIONAL APPEALS DIVISION,96
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,OFFICE OF THE SECRETARY,871
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,ECONOMIC DEVELOPMENT ADMINISTRATION,202
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,BUREAU OF ECONOMIC ANALYSIS,533
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,12909
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,INTERNATIONAL TRADE ADMINISTRATION,1549
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,PATENT AND TRADEMARK OFFICE,9608
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,3151
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,MINORITY BUSINESS DEVELOPMENT AGENCY,85
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,307
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,NATIONAL TECHNICAL INFORMATION SERVICE,122
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,BUREAU OF THE CENSUS,20987
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,153
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,ECONOMICS AND STATISTICS ADMINISTRATION,45
DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,BUREAU OF INDUSTRY AND SECURITY,324
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,UNSPECIFIED,1
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,"OFFICES, BOARDS AND DIVISIONS",7357
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,FEDERAL BUREAU OF INVESTIGATION,33486
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,37097
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,DRUG ENFORCEMENT ADMINISTRATION,9623
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,OFFICE OF JUSTICE PROGRAMS,684
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,U.S. MARSHALS SERVICE,5048
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,12157
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,452
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,U.S. TRUSTEE PROGRAM,1274
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,1350
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,COMMUNITY RELATIONS SERVICE,46
DEPARTMENT OF JUSTICE,Cabinet Level Agencies,,"BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",5119
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE SECRETARY OF LABOR,485
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,701
DEPARTMENT OF LABOR,Cabinet Level Agencies,,BUREAU OF INTERNATIONAL LABOR AFFAIRS,90
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,23
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE CHIEF FINANCIAL OFFICER,90
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF DISABILITY EMPLOYMENT POLICY,48
DEPARTMENT OF LABOR,Cabinet Level Agencies,,EMPLOYMENT STANDARDS ADMINISTRATION,4221
DEPARTMENT OF LABOR,Cabinet Level Agencies,,EMPLOYMENT AND TRAINING ADMINISTRATION,1106
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,432
DEPARTMENT OF LABOR,Cabinet Level Agencies,,BUREAU OF LABOR STATISTICS,2481
DEPARTMENT OF LABOR,Cabinet Level Agencies,,MINE SAFETY AND HEALTH ADMINISTRATION,2400
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF PUBLIC AFFAIRS,57
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,37
DEPARTMENT OF LABOR,Cabinet Level Agencies,,EMPLOYEE BENEFITS SECURITY ADMINISTRATION,954
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,2165
DEPARTMENT OF LABOR,Cabinet Level Agencies,,OFFICE OF THE SOLICITOR,673
DEPARTMENT OF LABOR,Cabinet Level Agencies,,VETERANS EMPLOYMENT AND TRAINING SERVICES,231
DEPARTMENT OF LABOR,Cabinet Level Agencies,,WOMEN'S BUREAU,52
DEPARTMENT OF ENERGY,Cabinet Level Agencies,,DEPARTMENT OF ENERGY,16453
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,134
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF THE DUTY SECRETARY OF EDUCATION,14
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE FOR CIVIL RIGHTS,593
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,"OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",139
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF THE UNDER SECRETARY,8
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF INSPECTOR GENERAL,298
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF THE GENERAL COUNSEL,111
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,279
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF THE CHIEF INFORMATION OFFICER,140
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,22
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF THE CHIEF FINANCIAL OFFICER,186
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF MANAGEMENT,198
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,FEDERAL STUDENT AID,1003
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF COMMUNICATIONS AND OUTREACH,111
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF POSTSECONDARY EDUCATION,236
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF SAFE AND DRUG,53
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,INSTITUTE OF EDUCATION SCIENCES,191
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,265
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF ENGLISH LANGUAGE ACQUISITION,20
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF INNOVATION AND IMPROVEMENT,104
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,OFFICE OF VOCATIONAL AND ADULT EDUCATION,90
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,NATIONAL INSTITUTE FOR LITERACY,22
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,ADVISORY COUNCILS AND COMMITTEES,23
DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,NATIONAL ASSESSMENT GOVERNING BOARD,33
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,14040
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,PROGRAM SUPPORT CENTER,1163
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,ADMINISTRATION ON AGING,94
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,7
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,520
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,310
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,HEALTH RESOURCES AND SERVICES ADMINISTRATION,1526
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,173
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,FOOD AND DRUG ADMINISTRATION,13844
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,INDIAN HEALTH SERVICE,14000
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,NATIONAL INSTITUTES OF HEALTH,19303
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,CENTERS FOR DISEASE CONTROL AND PREVENTION,9417
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,CENTERS FOR MEDICARE & MEDICAID SERVICES,4484
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,,ADMINISTRATION FOR CHILDREN AND FAMILIES,1318
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,DHS HEADQUARTERS,2428
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES,10560
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,U.S. COAST GUARD,8146
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,U.S. SECRET SERVICE,6802
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,710
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT,19376
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,TRANSPORTATION SECURITY ADMINISTRATION,59650
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,BUREAU OF CUSTOMS AND BORDER PROTECTION,58027
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,FEDERAL LAW ENFORCEMENT TRAINING CENTER,1197
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,FEDERAL EMERGENCY MANAGEMENT AGENCY,16530
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,DOMESTIC NUCLEAR DETECTION OFFICE,2314
DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,,OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY,396
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,236
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,402
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR MID,635
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,1025
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,680
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,585
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,210
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,342
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,627
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,211
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,35
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR ADMINISTRATION,628
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF GENERAL COUNSEL,341
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,289
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,121
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE CHIEF FINANCIAL OFFICER,175
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF INSPECTOR GENERAL,669
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION,82
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,16
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,CENTER FOR FAITH,12
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF FIELD POLICY AND MANAGEMENT,24
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,61
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR HOUSING,987
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE CHIEF PROCUREMENT OFFICER,120
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,694
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF THE CHIEF INFORMATION OFFICER,267
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH,106
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE),60
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY,26
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,19
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,OFFICE OF THE SECRETARY OF THE INTERIOR,3088
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,BUREAU OF LAND MANAGEMENT,10320
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,INDIAN AFFAIRS,9231
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,BUREAU OF RECLAMATION,5622
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,GEOLOGICAL SURVEY,8961
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,NATIONAL PARK SERVICE,21805
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,U.S. FISH AND WILDLIFE SERVICE,9526
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,OFFICE OF THE SOLICITOR,426
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",529
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,MINERAL MANAGEMENT SERVICE,1709
DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL,293
DEPARTMENT OF STATE,Cabinet Level Agencies,,DEPARTMENT OF STATE,11622
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,OFFICE OF THE SECRETARY OF TRANSPORTATION,717
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,FEDERAL AVIATION ADMINISTRATION,48505
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,FEDERAL HIGHWAY ADMINISTRATION,2941
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,FEDERAL RAILROAD ADMINISTRATION,840
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,133
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,FEDERAL TRANSIT ADMINISTRATION,551
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,620
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,RESEARCH AND INNOVATIVE TECHNONOGY ADMINSTRATION,697
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,OFFICE OF INSPECTOR GENERAL,441
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,MARITIME ADMINISTRATION,780
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,SURFACE TRANSPORTATION BOARD,154
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,373
DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,1064
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,OFFICE OF THRIFT SUPERVISION,1008
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSETS RELIEF PROGRAM (TARP),97
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,516
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,DEPARTMENTAL OFFICES,1810
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,INTERNAL REVENUE SERVICE,93654
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,OFFICE OF INSPECTOR GENERAL,129
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,FINANCIAL MANAGEMENT SERVICE,1905
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,BUREAU OF THE PUBLIC DEBT,1947
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,U.S. MINT,1793
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,FINANCIAL CRIMES ENFORCEMENT NETWORK,340
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,BUREAU OF ENGRAVING AND PRINTING,1957
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,OFFICE OF THE COMPTROLLER OF THE CURRENCY,3166
DEPARTMENT OF THE TREASURY,Cabinet Level Agencies,,OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,823
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,UNSPECIFIED,45
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,OFFICE OF THE SECRETARY,81
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,BOARD OF VETERANS APPEALS,565
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,GENERAL COUNSEL,758
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,INSPECTOR GENERAL,542
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR HUMAN RESOURCES AND ADMINISTRATION,11
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR HUMAN RESOURCES MANAGEMENT AND LABOR RELATIONS,160
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR EQUAL OPPORTUNITY,17
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION,100
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR OFFICE OF RESOLUTION MANAGEMENT,244
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR MANAGEMENT,8
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR BUDGET,28
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR FINANCE,594
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR ACQUISITION AND MATERIEL MANAGEMENT,73
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,1
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,7170
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR POLICY AND PLANNING,14
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR PROGRAM AND DATA ANALYSIS,21
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,24
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,NATIONAL CENTER FOR VETERAN ANALYSIS AND STATISTICS,6
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AND INTERGOVERNMENTAL AFFAIRS,15
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANCE SECRETARY FOR INTERGOVERNMENTAL AFFAIRS,8
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,43
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR CONGRESSIONAL AND LEGISLATIVE AFFAIRS,1
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,DEPUTY ASSISTANT SECRETARY FOR CONGRESSIONAL AFFAIRS,33
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,VETERANS BENEFITS ADMINISTRATION,19389
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,NATIONAL CEMETERY ADMINISTRATION,1670
DEPARTMENT OF VETERANS AFFAIRS,Cabinet Level Agencies,,VETERANS HEALTH ADMINISTRATION,268381
NATIONAL CREDIT UNION ADMINISTRATION,Large Independent Agencies (1000 or more employees),,NATIONAL CREDIT UNION ADMINISTRATION,1009
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Large Independent Agencies (1000 or more employees),,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2388
ENVIRONMENTAL PROTECTION AGENCY,Large Independent Agencies (1000 or more employees),,ENVIRONMENTAL PROTECTION AGENCY,18448
FEDERAL COMMUNICATIONS COMMISSION,Large Independent Agencies (1000 or more employees),,FEDERAL COMMUNICATIONS COMMISSION,1890
FEDERAL DEPOSIT INSURANCE CORPORATION,Large Independent Agencies (1000 or more employees),,FEDERAL DEPOSIT INSURANCE CORPORATION,6708
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,Large Independent Agencies (1000 or more employees),,OFFICE OF THE DIRECTOR,875
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,Large Independent Agencies (1000 or more employees),,PRETRIAL SERVICES AGENCY,366
